Array;Source Name;Cell_line;ClustGroup
5500994158987071513207_C06.cel;J132_EPC06P5_ZR-75-30_Breast_909907;ZR-75-30;6
5500994172383112813928_C06.cel;J132_EPC06P6_HSC-4_Head & Neck_907062;HSC-4;1
5500994158987071513201_C06.cel;J132_EPC06P7_PF-382_Blood_909260;PF-382;7
5500994172383112813930_C06.cel;J132_EPC06P8_NALM-6_Blood_908158;NALM-6;7
5500994172948120113978_C06.cel;J132_EPC06P9_CHSA0011_Bone_1290767;CHSA0011;4
5500994173212120213068_C07.cel;J132_EPC07P10_PWR-1E_Prostate_1330993;PWR-1E;2
5500994157493061613625_C07.cel;J132_EPC07P1_NCI-H441_Lung_908460;NCI-H441;2
5500994158987071513209_C07.cel;J132_EPC07P2_COLO-678_Intestine_910689;COLO-678;2
5500994172383112813929_C07.cel;J132_EPC07P3_EKVX_Lung_905970;EKVX;2
5500994158987071513202_C07.cel;J132_EPC07P4_LN-229_Brain_1240169;LN-229;4
5500994158987071513207_C07.cel;J132_EPC07P5_TOV-21G_Ovary_1240222;TOV-21G;2
5500994172383112813928_C07.cel;J132_EPC07P6_HN_Head & Neck_907059;HN;1
